Time (hours),pH,Temperature (C)
0.0,6.9640446838459455,37.14911908710303
0.5,6.918685371795554,37.663192948343514
1.0,6.827371739766832,36.65271607013432
1.5,7.017742614225376,36.925182729836166
2.0,6.959821906379174,36.78242322413918
2.5,6.8369801653033955,37.92463186423967
3.0,7.0462782255525775,37.33614737850622
3.5,6.909270163561676,37.203730918120556
4.0,7.005194539579614,36.61504196277734
4.5,7.072909056217754,37.26962459564591
5.0,7.012898291075741,36.662833669671315
5.5,7.11394006845433,37.015915279137175
6.0,6.876517417964635,36.68207696081056
6.5,7.040234164117755,37.33821664747325
7.0,6.9315189909059685,37.28829540830747
7.5,6.912920285081812,36.895850622211
8.0,6.942115033523558,37.19800335633082
8.5,6.968844746787263,36.45346924563475
9.0,7.005616534222974,36.254371203647196
9.5,6.883485015921664,37.21969585063227
10.0,7.090082648695419,37.08333674768627
10.5,7.046566243973046,37.31751571844605
11.0,6.846375631372277,38.19157238743197
11.5,7.14882521937956,37.47223974349521
12.0,7.189588917603058,36.54358888727792
12.5,7.117877957115965,37.55850814404793
13.0,6.982007516418765,36.342046294744236
13.5,6.892924737848945,36.76920769759265
14.0,7.105445172693114,36.965879197337685
14.5,6.959682305302682,37.856671360824684
15.0,7.122244507038243,36.62762258897578
15.5,7.020827497807686,36.58678073067049
16.0,7.097663903648371,36.95077373778729
16.5,7.03563663971744,36.66826085681895
17.0,7.070657316819195,37.56331796105325
17.5,7.001050002072082,36.460034245818285
18.0,7.1785870493905835,36.42626567379445
18.5,7.012691209270362,36.781089977627786
19.0,7.040198936344471,36.75098377465385
19.5,7.1883150697056255,37.96476602690849
20.0,6.865224093885756,37.47471040346288
20.5,6.8729515001514265,37.04377562069259
21.0,7.096939670815801,36.387282240584916
21.5,6.882687659488584,37.42218148820077
22.0,7.194362118564929,36.499892326305215
22.5,6.958638101924025,36.227614451611196
23.0,6.925254518855924,37.59401489617615
23.5,7.192294202648038,37.15847130596242
24.0,7.148051479143443,37.46042941189041
24.5,7.186755896042657,37.15936382647151
25.0,7.090604465827538,37.42841530595135
25.5,6.91387743149453,36.674487203349926
26.0,7.191006495309903,36.48287857910777
26.5,6.973199662904862,37.340797259140814
27.0,7.08024563957964,36.59829516791308
27.5,7.094725196777375,36.6552251111249
28.0,6.984498990690916,36.77223374824133
28.5,7.061407937034608,37.00873957951253
29.0,7.092220667156653,36.82300304437326
29.5,7.037642553115563,36.31252435329099
30.0,6.890059920941581,36.67819079858356
